soft_month,month,p,m,c
199009,1,129.3,469845,0.0127089
199010,2,130.3,469964,0.0015909
199011,3,130,474792,-0.0028747
199012,4,129.9,477138,0.0006838
199101,5,130.2,477025,0.0047499
199102,6,130.9,478170,0.003322
199103,7,131.4,485691,0.0094851
199104,8,133.1,487882,0.0087398
199105,9,133.5,491436,0.0031232
199106,10,134.1,496311,0.001222
199107,11,133.8,494629,-0.0012778
199108,12,134.1,495502,0.0038893
199109,13,134.6,500736,0.0036049
199110,14,135.1,498203,0.00398
199111,15,135.6,500291,0.002681
199112,16,135.7,504133,-0.0014101
199201,17,135.6,502697,0.0029595
199202,18,136.3,504362,0.0028073
199203,19,136.7,510186,0.0100483
199204,20,138.8,512339,0.0115262
199205,21,139.3,513941,0.0003707
199206,22,139.3,517411,-0.0022215
199207,23,138.8,518600,-0.0022722
199208,24,138.9,518043,0.0026845
199209,25,139.4,521215,0.0044748
199210,26,139.9,522497,0.0009369
199211,27,139.7,519196,-0.0017722
199212,28,139.2,517883,-0.0088972
199301,29,137.9,514110,-0.0015448
199302,30,138.8,515943,0.0064433
199303,31,139.3,523757,0.0060742
199304,32,140.6,524906,0.0079152
199305,33,141.1,527697,0.0007831
199306,34,141,529014,-0.0025244
199307,35,140.7,530719,0.0007975
199308,36,141.3,530962,0.0057104
199309,37,141.9,533672,0.0018384
199310,38,141.8,536703,-0.0024668
199311,39,141.6,538138,0.00168
199312,40,141.9,544055,-0.002139
199401,41,141.3,542640,0.0005129
199402,42,142.1,545126,0.004313
199403,43,142.5,554948,0.0076052
199404,44,144.2,555553,0.0092775
199405,45,144.7,556209,0.0012474
199406,46,144.7,558024,-0.0038828
199407,47,144,557068,-0.0002644
199408,48,144.7,557482,0.0049404
199409,49,145,560906,0.001264
199410,50,145.2,559477,0.0003521
199411,51,145.3,563747,0.0035288
199412,52,146,567157,0.0020164
199501,53,146,564864,0.0028237
199502,54,146.9,569619,0.0051239
199503,55,147.5,583647,0.0073451
199504,56,149,583593,0.008079
199505,57,149.6,589225,0.0027493
199506,58,149.8,595309,-0.0030114
199507,59,149.1,601851,-0.0007473
199508,60,149.9,603945,0.008002
199509,61,150.6,606183,-0.0012301
199510,62,149.8,608574,-0.005083
199511,63,149.8,616189,0.0055832
199512,64,150.7,623385,0.0007203
199601,65,150.2,625273,-0.0004649
199602,66,150.9,627175,0.0051175
199603,67,151.5,640047,0.0058485
199604,68,152.6,640485,0.005097
199605,69,152.9,646691,0.0013595
199606,70,153,654010,-0.0026816
199607,71,152.4,655463,-0.0004594
199608,72,153.1,660549,0.006479
199609,73,153.8,666483,0.0019764
199610,74,153.8,672162,-0.0006987
199611,75,153.9,683166,0.0027683
199612,76,154.4,682786,0.0013056
199701,77,154.4,686547,0.0017395
199702,78,155,696890,0.0033723
199703,79,155.4,711327,0.004139
199704,80,156.3,705241,0.0051285
199705,81,156.9,719259,0.0041661
199706,82,157.5,728240,0.0011511
199707,83,157.5,733359,0.0026791
199708,84,158.5,737700,0.0071195
199709,85,159.3,705835,0.002935
199710,86,159.5,708256,9.10E-06
199711,87,159.6,717679,0.0026734
199712,88,160,722133,-0.001313
199801,89,159.5,720868,0.0006974
199802,90,160.3,730520,0.0041425
199803,91,160.8,742600,0.0070856
199804,92,162.6,741861,0.0102546
199805,93,163.5,748977,0.0018511
199806,94,163.4,757045,-0.002936
199807,95,163,766838,0.0007033
199808,96,163.7,761414,0.005626
199809,97,164.4,768779,0.0024503
199810,98,164.5,771386,-0.0008017
199811,99,164.4,779852,0.0007566
199812,100,164.4,783354,-0.0040484
199901,101,163.4,777258,-0.0028678
199902,102,163.7,785747,0.0027179
199903,103,164.1,793027,0.0048223
199904,104,165.2,798948,0.0053573
199905,105,165.6,803976,0.0010455
199906,106,165.6,800946,-0.0022838
199907,107,165.1,796997,-0.0009826
199908,108,165.5,797270,0.0044016
199909,109,166.2,793826,0.0032989
